turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,scenario,attachment_size_kb,repeat,memory_drift_score,memory_drift_passed,latency_budget_passed,cost_budget_passed,attachment_recall_passed
1,51569f4c-d9a1-4212-92d6-0e5cf85445da,69,0,2,0,0,2919,105,0.000501,3186,none,default,growing,0,0,0.0,False,True,True,
2,51569f4c-d9a1-4212-92d6-0e5cf85445da,49,0,4,0,0,3062,109,0.000525,3260,none,default,growing,0,0,0.0,False,True,True,
3,51569f4c-d9a1-4212-92d6-0e5cf85445da,54,0,6,0,0,3203,113,0.000548,3170,none,default,growing,0,0,0.0,False,True,True,
4,51569f4c-d9a1-4212-92d6-0e5cf85445da,48,0,8,0,0,3391,115,0.000578,2418,none,default,growing,0,0,0.2,False,True,True,
5,51569f4c-d9a1-4212-92d6-0e5cf85445da,42,0,10,0,0,3544,125,0.000607,3909,none,default,growing,0,0,0.1667,False,True,True,
6,51569f4c-d9a1-4212-92d6-0e5cf85445da,49,0,12,0,0,3691,119,0.000625,2446,none,default,growing,0,0,0.1429,False,True,True,
6,51569f4c-d9a1-4212-92d6-0e5cf85445da,47,0,12,0,346,4405,187,0.000773,4460,none,default,growing,0,0,0.25,False,False,True,
6,51569f4c-d9a1-4212-92d6-0e5cf85445da,38,0,12,0,427,4528,198,0.000798,5199,none,default,growing,0,0,0.3333,False,False,True,
6,51569f4c-d9a1-4212-92d6-0e5cf85445da,43,0,12,0,494,4554,209,0.000808,5123,none,default,growing,0,0,0.3,False,False,True,
6,51569f4c-d9a1-4212-92d6-0e5cf85445da,54,0,12,0,580,4590,224,0.000823,6669,none,default,growing,0,0,0.3636,False,False,True,
6,51569f4c-d9a1-4212-92d6-0e5cf85445da,50,0,12,0,667,4628,247,0.000842,5191,none,default,growing,0,0,0.3333,False,False,True,
6,51569f4c-d9a1-4212-92d6-0e5cf85445da,48,0,12,0,748,4671,271,0.000863,5967,none,default,growing,0,0,0.3846,False,False,True,
6,51569f4c-d9a1-4212-92d6-0e5cf85445da,44,0,12,0,907,4712,300,0.000887,5369,none,default,growing,0,0,0.5,False,False,True,
6,51569f4c-d9a1-4212-92d6-0e5cf85445da,56,0,12,0,1038,4777,334,0.000917,6242,none,default,growing,0,0,0.5333,False,False,True,
6,51569f4c-d9a1-4212-92d6-0e5cf85445da,46,0,12,0,1110,4829,353,0.000936,7188,none,default,growing,0,0,0.625,False,False,True,
6,51569f4c-d9a1-4212-92d6-0e5cf85445da,50,0,12,0,1203,4872,377,0.000957,7046,none,default,growing,0,0,0.7059,False,False,True,
6,51569f4c-d9a1-4212-92d6-0e5cf85445da,40,0,12,0,1319,4905,394,0.000972,8065,none,default,growing,0,0,0.7222,False,False,True,
6,51569f4c-d9a1-4212-92d6-0e5cf85445da,46,0,12,0,1540,5053,441,0.001023,7319,none,executive,growing,0,0,0.6842,False,False,True,
1,8a884872-3440-419a-9a33-228ae24dc514,15500,15419,2,0,0,16006,576,0.002746,13958,none,default,growing,5,0,1.0,True,False,True,False
2,8a884872-3440-419a-9a33-228ae24dc514,60,0,4,0,0,13502,596,0.002383,9732,none,default,growing,5,0,0.0,False,False,True,
3,8a884872-3440-419a-9a33-228ae24dc514,69,0,6,0,0,14267,638,0.002523,28500,none,default,growing,5,0,0.0,False,False,True,
4,8a884872-3440-419a-9a33-228ae24dc514,49,0,8,0,0,7456,363,0.001336,5953,none,default,growing,5,0,0.3333,False,False,True,
5,8a884872-3440-419a-9a33-228ae24dc514,54,0,10,0,0,15768,713,0.002793,18791,none,default,growing,5,0,0.5,False,False,True,
6,8a884872-3440-419a-9a33-228ae24dc514,48,0,12,0,0,39074,1347,0.006669,21341,none,default,growing,5,0,0.6,False,False,True,
6,8a884872-3440-419a-9a33-228ae24dc514,42,0,12,0,379,44497,1428,0.007531,22949,none,default,growing,5,0,0.5,False,False,True,
6,8a884872-3440-419a-9a33-228ae24dc514,49,0,12,0,446,11937,870,0.002313,14124,none,default,growing,5,0,0.4286,False,False,True,
6,8a884872-3440-419a-9a33-228ae24dc514,47,0,12,0,474,12124,894,0.002355,20431,none,default,growing,5,0,0.375,False,False,True,
6,8a884872-3440-419a-9a33-228ae24dc514,38,0,12,0,548,12155,869,0.002345,29882,none,default,growing,5,0,0.4444,False,False,True,
6,8a884872-3440-419a-9a33-228ae24dc514,54,0,12,0,599,12304,899,0.002385,14412,none,default,growing,5,0,0.3636,False,False,True,
6,8a884872-3440-419a-9a33-228ae24dc514,50,0,12,0,845,12324,926,0.002404,26924,none,default,growing,5,0,0.5,False,False,True,
6,8a884872-3440-419a-9a33-228ae24dc514,48,0,12,0,1097,12471,1009,0.002476,17982,none,default,growing,5,0,0.6154,False,False,True,
6,8a884872-3440-419a-9a33-228ae24dc514,44,0,12,0,1233,30317,1654,0.00554,33390,none,default,growing,5,0,0.6429,False,False,True,
6,8a884872-3440-419a-9a33-228ae24dc514,56,0,12,0,1328,12734,1059,0.002546,17966,none,default,growing,5,0,0.6667,False,False,True,
6,8a884872-3440-419a-9a33-228ae24dc514,46,0,12,0,1503,12712,1084,0.002557,16793,none,default,growing,5,0,0.6875,False,False,True,
